name,segment,vertical_role,posture,segment_typical_coding,source
Juicebox (PeopleGPT),AI-native,AI talent search,M,yes,"Wellows, 2026"
Moonhub,AI-native,AI recruiting,M,yes,"Y Combinator, 2026"
Zencoder,AI-native,Coding agent,M,yes,"Wellows, 2026"
Sweep,AI-native,Coding / PR agent,M,yes,"Y Combinator, 2026"
Cosine (Genie),AI-native,Coding agent,M,yes,"CB Insights, 2025"
Induced AI,AI-native,Web-action agents,M,yes,"Y Combinator, 2026"
Orby AI,AI-native,Enterprise automation agents,M,yes,"CB Insights, 2025"
Ema,AI-native,Enterprise AI-employee agents,M,yes,"CB Insights, 2025"
Aisera,AI-native,Agentic enterprise/IT service AI,M,yes,"CB Insights, 2025"
Moveworks,AI-native,Enterprise copilot,M,yes,"CB Insights, 2025"
Delphi,AI-native,Digital-mind / persona AI,M,yes,"Wellows, 2026"
Distyl AI,AI-native,Enterprise AI solutions,M,yes,"Wellows, 2026"
H Company,AI-native,Agentic models (Runner H),O,no,"Bloomberg, 2025"
Adept,AI-native,Action / agent models,O,no,"CB Insights, 2025"
PlayAI,AI-native,Voice generation (own models),O,no,"CB Insights, 2025"
Rime,AI-native,Voice models,O,no,"Wellows, 2026"
Tavus,AI-native,AI video avatars (own models),O,no,"CB Insights, 2025"
Argil,AI-native,AI video avatars,M,yes,"Wellows, 2026"
Beautiful.ai,AI-native,AI presentations,M,yes,"Wellows, 2026"
Durable,AI-native,AI website builder,M,yes,"Wellows, 2026"
Tome,AI-native,AI presentations / storytelling,M,yes,"CB Insights, 2025"
Gong,Incumbent,Revenue intelligence,M,yes,"CB Insights, 2025"
Apollo.io,Incumbent,Sales intelligence platform,M,yes,"Wellows, 2026"
Clari,Incumbent,Revenue operations,M,yes,"Northflank, 2026"
Eightfold AI,Incumbent,Talent intelligence,M,yes,"CB Insights, 2025"
Innovaccer,Incumbent,Healthcare data platform,M,yes,"CB Insights, 2025"
