name,segment,vertical_role,posture,segment_typical_coding,indic_aipdi,source,paper_ref
Ragie,Infrastructure,RAG-as-a-service (SME),M,no,35,"Y Combinator, 2026",[67]
Exa,Infrastructure,Search API for AI,M,no,35,"CB Insights, 2025",[43]
Tavily,Infrastructure,Search API for agents (SME),M,no,35,"Y Combinator, 2026",[67]
Predibase,Infrastructure,Fine-tuning / serving,M,no,35,"CB Insights, 2025",[43]
OpenPipe,Infrastructure,Fine-tuning platform (SME),M,no,35,"Y Combinator, 2026",[67]
Ragas,Infrastructure,RAG evaluation (OSS),M,no,35,"CB Insights, 2025",[43]
Opik (Comet),Infrastructure,LLM eval / observability,M,no,35,"CB Insights, 2025",[43]
Prompt Security,Infrastructure,LLM security (SME),M,no,35,"CB Insights, 2025",[43]
Pillar Security,Infrastructure,AI security (SME),M†,yes,35,"CB Insights, 2025",[43]
VAST Data,Infrastructure,AI data platform,M†,yes,35,"Forbes AI 50, 2025",[68]
Deepgram,Infrastructure,Speech-to-text models,O,no,28,"CB Insights, 2025",[43]
AssemblyAI,Infrastructure,Speech AI models,O,no,28,"CB Insights, 2025",[43]
LiveKit,Infrastructure,Realtime voice/video infra,M†,yes,35,"Northflank, 2026",[3]
Speechmatics,Infrastructure,Speech recognition,O,no,28,"Wellows, 2026",[44]
Marqo,Infrastructure,Vector / multimodal search,M†,yes,35,"Northflank, 2026",[3]
Nomic AI,Infrastructure,Embeddings / data maps,O,no,28,"CB Insights, 2025",[43]
Jina AI,Infrastructure,Embeddings / multimodal,O,no,28,"Northflank, 2026",[3]
Voyage AI,Infrastructure,Embeddings (retrieval),O,no,28,"CB Insights, 2025",[43]
Cleanlab,Infrastructure,Data quality for AI,M†,yes,35,"Wellows, 2026",[44]
Encord,Infrastructure,Data labeling / eval,M†,yes,35,"CB Insights, 2025",[43]
SuperAnnotate,Infrastructure,Data labeling / RLHF,M†,yes,35,"Wellows, 2026",[44]
Fiddler AI,Infrastructure,ML / LLM observability,M†,yes,35,"Northflank, 2026",[3]
WhyLabs,Infrastructure,ML / LLM observability,M†,yes,35,"Wellows, 2026",[44]
Lamini,Infrastructure,Enterprise LLM platform,M†,yes,35,"CB Insights, 2025",[43]
Modular,Infrastructure,AI inference engine (MAX),M†,yes,35,"Northflank, 2026",[3]
Credal,Infrastructure,Enterprise AI data security,M†,yes,35,"Y Combinator, 2026",[67]
Tracecat,Infrastructure,Security automation (AI),M†,yes,35,"Y Combinator, 2026",[67]
Abnormal Security,Infrastructure,Email security AI,M†,yes,35,"CB Insights, 2025",[43]
Cyera,Infrastructure,Data security posture (AI),M†,yes,35,"CB Insights, 2025",[43]
Dropzone AI,Infrastructure,SOC analyst agents,M†,yes,35,"Wellows, 2026",[44]
Maven AGI,AI-native,Customer support agents,M†,yes,55,"CB Insights, 2025",[43]
Crescendo,AI-native,Customer support AI,M†,yes,55,"Wellows, 2026",[44]
Ada,AI-native,Customer service automation,M†,yes,55,"Northflank, 2026",[3]
Gradient Labs,AI-native,Support agents (regulated),M†,yes,55,"Y Combinator, 2026",[67]
Observe.AI,AI-native,Contact-center AI,M†,yes,55,"CB Insights, 2025",[43]
Replicant,AI-native,Voice customer service,M†,yes,55,"Wellows, 2026",[44]
Wonderful,AI-native,Customer support agents,M†,yes,55,"Wellows, 2026",[44]
Pylon,AI-native,B2B customer support,M†,yes,55,"Y Combinator, 2026",[67]
Regie.ai,AI-native,Sales content agents,M†,yes,55,"Wellows, 2026",[44]
Tektonic AI,AI-native,GTM operations agents,M†,yes,55,"Wellows, 2026",[44]
Clearbrief,AI-native,Legal writing / citations,M†,yes,55,"Wellows, 2026",[44]
Definely,AI-native,Contract drafting,M†,yes,55,"CB Insights, 2025",[43]
Wordsmith,AI-native,In-house legal AI,M†,yes,55,"Y Combinator, 2026",[67]
Augmedix,AI-native,Clinical documentation,M†,yes,55,"CB Insights, 2025",[43]
Sardine,AI-native,Fraud / risk AI,M†,yes,55,"CB Insights, 2025",[43]
Norm Ai,AI-native,Regulatory compliance agents,M†,yes,55,"CB Insights, 2025",[43]
Greenlite,AI-native,Compliance / AML agents,M†,yes,55,"Y Combinator, 2026",[67]
Sedric AI,AI-native,Compliance monitoring,M†,yes,55,"Wellows, 2026",[44]
Micro1,AI-native,AI recruiting / vetting,M†,yes,55,"Wellows, 2026",[44]
Juicebox (PeopleGPT),AI-native,AI talent search,M†,yes,55,"Wellows, 2026",[44]
Moonhub,AI-native,AI recruiting,M†,yes,55,"Y Combinator, 2026",[67]
Zencoder,AI-native,Coding agent,M†,yes,55,"Wellows, 2026",[44]
Sweep,AI-native,Coding / PR agent,M†,yes,55,"Y Combinator, 2026",[67]
Cosine (Genie),AI-native,Coding agent,M†,yes,55,"CB Insights, 2025",[43]
Induced AI,AI-native,Web-action agents,M†,yes,55,"Y Combinator, 2026",[67]
Orby AI,AI-native,Enterprise automation agents,M†,yes,55,"CB Insights, 2025",[43]
Ema,AI-native,Enterprise AI-employee agents,M†,yes,55,"CB Insights, 2025",[43]
Aisera,AI-native,Agentic enterprise/IT service AI,M†,yes,55,"CB Insights, 2025",[43]
Moveworks,AI-native,Enterprise copilot,M†,yes,55,"CB Insights, 2025",[43]
Delphi,AI-native,Digital-mind / persona AI,M†,yes,55,"Wellows, 2026",[44]
Distyl AI,AI-native,Enterprise AI solutions,M†,yes,55,"Wellows, 2026",[44]
H Company,AI-native,Agentic models (Runner H),O,no,45,"Bloomberg, 2025",[45]
Adept,AI-native,Action / agent models,O,no,45,"CB Insights, 2025",[43]
PlayAI,AI-native,Voice generation (own models),O,no,45,"CB Insights, 2025",[43]
Rime,AI-native,Voice models,O,no,45,"Wellows, 2026",[44]
Tavus,AI-native,AI video avatars (own models),O,no,45,"CB Insights, 2025",[43]
Argil,AI-native,AI video avatars,M†,yes,55,"Wellows, 2026",[44]
Beautiful.ai,AI-native,AI presentations,M†,yes,55,"Wellows, 2026",[44]
Durable,AI-native,AI website builder,M†,yes,55,"Wellows, 2026",[44]
Tome,AI-native,AI presentations / storytelling,M†,yes,55,"CB Insights, 2025",[43]
Gong,Incumbent,Revenue intelligence,M†,yes,30,"CB Insights, 2025",[43]
Apollo.io,Incumbent,Sales intelligence platform,M†,yes,30,"Wellows, 2026",[44]
Clari,Incumbent,Revenue operations,M†,yes,30,"Northflank, 2026",[3]
Eightfold AI,Incumbent,Talent intelligence,M†,yes,30,"CB Insights, 2025",[43]
Innovaccer,Incumbent,Healthcare data platform,M†,yes,30,"CB Insights, 2025",[43]
